Doctor Name,Specialization,Experience,Location,City,Hospital,Consultation Fee,Profile Link
Dr. Tushar Thorat,Plastic Surgeon,16 years experience overall,"Charni Road,",Mumbai,Sir H.N. Reliance Foundation Hospital,₹1100,https://www.practo.com/mumbai/doctor/dr-tushar-thorat?practice_id=862484&specialization=Doctor&referrer=doctor_listing&page_uid=d9bb4375-9dae-4226-9bae-c5e4ca02c0de
Dr. Santosh Bangar,Psychiatrist,26 years experience overall,"Parel,",Mumbai,Gleneagles Hospitals,₹4600,https://www.practo.com/mumbai/doctor/santosh-bangar-psychiatrist?practice_id=982258&specialization=Doctor&referrer=doctor_listing&page_uid=d9bb4375-9dae-4226-9bae-c5e4ca02c0de
Ms. Urvi Ganatra   (Physiotherapist),Physiotherapist,12 years experience overall,"Bhandup East,",Mumbai,The Bone Clinic & Diagnostic Centre,₹600,https://www.practo.com/mumbai/therapist/urvi-ganatra-physiotherapist-1?practice_id=967695&specialization=Doctor&referrer=doctor_listing&page_uid=d9bb4375-9dae-4226-9bae-c5e4ca02c0de
Dr. Uday M Pawar,Spine And Pain Specialist,25 years experience overall,"Parel,",Mumbai,Gleneagles Hospitals,₹2500,https://www.practo.com/mumbai/doctor/dr-uday-pawar-orthopedist?practice_id=982258&specialization=Doctor&referrer=doctor_listing&page_uid=d9bb4375-9dae-4226-9bae-c5e4ca02c0de
Dr. Amit Aroskar,Ayurveda,26 years experience overall,"Borivali West,",Mumbai,Dr. Aroskar's Aamod Ayurvedic Wellness Clinic,₹800,https://www.practo.com/mumbai/doctor/dr-aroskar-ayurveda?practice_id=1009434&specialization=Doctor&referrer=doctor_listing&page_uid=d9bb4375-9dae-4226-9bae-c5e4ca02c0de
Dr. Yash Devckar,Ear-Nose-Throat (ENT) Specialist,13 years experience overall,"Chembur,",Mumbai,Apollo Spectra Hospitals,₹1200,https://www.practo.com/mumbai/doctor/yash-devckar-ear-nose-throat-ent-specialist?practice_id=1053353&specialization=Doctor&referrer=doctor_listing&page_uid=f42ee381-c9a0-4cf4-adc7-5e732918ee12
Dr. Yash Girish Shete,Homoeopath,10 years experience overall,"Malad West,",Mumbai,Dr Shete's Healthcare Clinic,₹600,https://www.practo.com/mumbai/doctor/dr-yash-shete-homoeopath?practice_id=1174940&specialization=Doctor&referrer=doctor_listing&page_uid=f42ee381-c9a0-4cf4-adc7-5e732918ee12
Dr. Sony Mehta,Urologist,12 years experience overall,"Khar West,",Mumbai,Kumar Clinic,₹1000,https://www.practo.com/mumbai/doctor/dr-sony-mehta-urology?practice_id=1396180&specialization=Doctor&referrer=doctor_listing&page_uid=f42ee381-c9a0-4cf4-adc7-5e732918ee12
Dr. Saurabh Dani,Gynecologist/Obstetrician,25 years experience overall,"Malad West,",Mumbai,Cloudnine Hospital,₹1100,https://www.practo.com/mumbai/doctor/dr-saurabh-dani-gynecologist-obstetrician-1?practice_id=1053187&specialization=Doctor&referrer=doctor_listing&page_uid=f42ee381-c9a0-4cf4-adc7-5e732918ee12
Dr. Ashish Gandhi,Dentist,41 years experience overall,"Andheri West,",Mumbai,Dr. Gandhi Dental Clinic,₹500,https://www.practo.com/mumbai/doctor/dr-ashish-gandhi-dentist?practice_id=648633&specialization=Doctor&referrer=doctor_listing&page_uid=f42ee381-c9a0-4cf4-adc7-5e732918ee12
Dr. Pallavi Kendrekar,Dentist,27 years experience overall,"Borivali West,",Mumbai,Synergy Dental Clinics,₹800,https://www.practo.com/mumbai/doctor/dr-pallavi-kendrekar-2-dentist?practice_id=694977&specialization=Doctor&referrer=doctor_listing&page_uid=f42ee381-c9a0-4cf4-adc7-5e732918ee12
Dr. Shweta Shah,Gynecologist/Obstetrician,14 years experience overall,"Malad West,",Mumbai,Cloudnine Hospital,₹1600,https://www.practo.com/mumbai/doctor/dr-shweta-shah-1-gynecologist-obstetrician?practice_id=1053187&specialization=Doctor&referrer=doctor_listing&page_uid=f42ee381-c9a0-4cf4-adc7-5e732918ee12
Dr. Priyam Bhagat,Dermatologist,22 years experience overall,"Goregaon East,",Mumbai,"Finesse Laser Skin clinic, Goregaon",₹2000,https://www.practo.com/mumbai/doctor/dr-priyam-kembre-dermatologist?practice_id=651830&specialization=Doctor&referrer=doctor_listing&page_uid=f42ee381-c9a0-4cf4-adc7-5e732918ee12
Dr. Tanushri Mukherjee,Pediatrician,19 years experience overall,"Malad West,",Mumbai,Cloudnine Hospital,₹1300,https://www.practo.com/mumbai/doctor/dr-tanushri-mukherjee-pediatrician?practice_id=1053187&specialization=Doctor&referrer=doctor_listing&page_uid=f42ee381-c9a0-4cf4-adc7-5e732918ee12
Dr. Chirag Dalal,Orthopedist,20 years experience overall,"Bhandup West,",Mumbai,Madhu Hospital,₹1000,https://www.practo.com/mumbai/doctor/drcjdalal-gmail-com-orthopedist?practice_id=834286&specialization=Doctor&referrer=doctor_listing&page_uid=f42ee381-c9a0-4cf4-adc7-5e732918ee12
Dr. Ketan Parmar,Psychiatrist,37 years experience overall,"Borivali East,",Mumbai,Dr Ketan Parmar psychiatrist center,₹1200,https://www.practo.com/mumbai/doctor/dr-ketan-parmar-psychiatrist-1?practice_id=658421&specialization=Doctor&referrer=doctor_listing&page_uid=1b543dfa-85c1-4543-a09a-65258e9247c2
Dr. Suhas Vidyadhar Abhyankar,Plastic Surgeon,29 years experience overall,"Dadar East,",Mumbai,Parchure Nursing Home,₹1000,https://www.practo.com/mumbai/doctor/suhas-vidyadhar-abhyankar-cosmetic-plastic-surgeon-plastic-surgeon?practice_id=1009339&specialization=Doctor&referrer=doctor_listing&page_uid=1b543dfa-85c1-4543-a09a-65258e9247c2
Dr. Rakesh Pandia,Gynecologist/Obstetrician,34 years experience overall,"Malad West,",Mumbai,Cloudnine Hospital,₹1000,https://www.practo.com/mumbai/doctor/rakesh-pandiya-gynecologist-obstetrician?practice_id=1053187&specialization=Doctor&referrer=doctor_listing&page_uid=1b543dfa-85c1-4543-a09a-65258e9247c2
Dr. Nimesh Shah,General Surgeon,33 years experience overall,"Parel,",Mumbai,Gleneagles Hospitals,₹2000,https://www.practo.com/mumbai/doctor/dr-nimesh-shah-general-surgeon?practice_id=982258&specialization=Doctor&referrer=doctor_listing&page_uid=1b543dfa-85c1-4543-a09a-65258e9247c2
Dr. Jalpa Bhuta,Psychiatrist,26 years experience overall,"Parel,",Mumbai,Gleneagles Hospitals,₹3250,https://www.practo.com/mumbai/doctor/jalpa-bhuta-psychiatrist?practice_id=982258&specialization=Doctor&referrer=doctor_listing&page_uid=1b543dfa-85c1-4543-a09a-65258e9247c2
Ms. Zubaida I Shaikh,Acupuncturist,24 years experience overall,"Andheri West,",Mumbai,Derm E Care,₹1000,https://www.practo.com/mumbai/therapist/zubaida-i-shaikh-acupuncturist?practice_id=1239913&specialization=Doctor&referrer=doctor_listing&page_uid=1b543dfa-85c1-4543-a09a-65258e9247c2
Dr. Sonal K Shah,Dentist,15 years experience overall,"Andheri West,",Mumbai,Kids And Braces Superspeciality Dental clinic,₹500,https://www.practo.com/mumbai/doctor/dr-sonal-trivedi-shah-dentist?practice_id=1233999&specialization=Doctor&referrer=doctor_listing&page_uid=1b543dfa-85c1-4543-a09a-65258e9247c2
Dr. Sanyogita Y. Vichare,Ophthalmologist,19 years experience overall,"Dadar,",Mumbai,Sankalp Eye Clinic,₹600,https://www.practo.com/mumbai/doctor/dr-sanyogita-y-vichare-ophthalmologist?practice_id=892266&specialization=Doctor&referrer=doctor_listing&page_uid=1b543dfa-85c1-4543-a09a-65258e9247c2
Dr. Jaideep Mankani,Ear-Nose-Throat (ENT) Specialist,34 years experience overall,"Kandivali East,",Mumbai,Primaa ENT Centre,₹1000,https://www.practo.com/mumbai/doctor/dr-jaideep-mankani-ear-nose-throat-ent-specialist?practice_id=737609&specialization=Doctor&referrer=doctor_listing&page_uid=1b543dfa-85c1-4543-a09a-65258e9247c2
Dr. Mohammed Moin Abdul Rashid Holy,Dentist,16 years experience overall,"Nagpada,",Mumbai,Holy Dental Care,₹500,https://www.practo.com/mumbai/doctor/dr-mohammed-moin-holy-dentist-1?practice_id=653199&specialization=Doctor&referrer=doctor_listing&page_uid=1b543dfa-85c1-4543-a09a-65258e9247c2
Dr. Sachin Dalal,Gynecologist/Obstetrician,23 years experience overall,"Bhandup West,",Mumbai,Madhu Hospital,₹1000,https://www.practo.com/mumbai/doctor/sachin-dalal-gynecologist-obstetrician-gynecologist-obstetrician?practice_id=834286&specialization=Doctor&referrer=doctor_listing&page_uid=3ee32223-6c13-41f3-8694-23277c401466
Ms. Avani Khadepau   (Physiotherapist),Physiotherapist,23 years experience overall,"Kandivali West,",Mumbai,Mahavir Physiotherapy Clinic,₹600,https://www.practo.com/mumbai/therapist/dr-avani-khadepau-physiotherapist?practice_id=1329325&specialization=Doctor&referrer=doctor_listing&page_uid=3ee32223-6c13-41f3-8694-23277c401466
Dr. Shaival Chauhan,Orthopedist,20 years experience overall,"Ghatkopar West,",Mumbai,Sharan Hospital,₹1000,https://www.practo.com/mumbai/doctor/dr-shaival-chauhan?practice_id=1133841&specialization=Doctor&referrer=doctor_listing&page_uid=3ee32223-6c13-41f3-8694-23277c401466
Dr. Udani Amish,Pediatrician,23 years experience overall,"Malad West,",Mumbai,Cloudnine Hospital,₹1350,https://www.practo.com/mumbai/doctor/udani-amish-nephrologist?practice_id=1053187&specialization=Doctor&referrer=doctor_listing&page_uid=3ee32223-6c13-41f3-8694-23277c401466
Dr. Kaushik Gandhi,Dentist,43 years experience overall,"Sion West,",Mumbai,Gandhi Advanced Dental Care,₹800,https://www.practo.com/mumbai/doctor/dr-kaushik-gandhi-dentist?practice_id=648736&specialization=Doctor&referrer=doctor_listing&page_uid=3ee32223-6c13-41f3-8694-23277c401466
Dr. Shilpa Bansal Agrawal,Gynecologist/Obstetrician,20 years experience overall,"Andheri West,",Mumbai,Harleys Clinic,₹1500,https://www.practo.com/mumbai/doctor/dr-shilpa-bansal-gynecologist-obstetrician-1?practice_id=668735&specialization=Doctor&referrer=doctor_listing&page_uid=3ee32223-6c13-41f3-8694-23277c401466
Dr. Rajesh Kamdar,Dentist,42 years experience overall,"Andheri West,",Mumbai,Wondersmiles,₹800,https://www.practo.com/mumbai/doctor/dr-rajesh-kamdar-dentist-2?practice_id=661108&specialization=Doctor&referrer=doctor_listing&page_uid=3ee32223-6c13-41f3-8694-23277c401466
Dr. Mohan Vs,Dentist,45 years experience overall,"Andheri East,",Mumbai,Dente Dental Experts,₹800,https://www.practo.com/mumbai/doctor/dr-mohan-vs-dentist?practice_id=648514&specialization=Doctor&referrer=doctor_listing&page_uid=3ee32223-6c13-41f3-8694-23277c401466
Dr. Utkarsh Pawar,Orthopedist,13 years experience overall,"Chembur,",Mumbai,Apollo Spectra Hospitals,₹1500,https://www.practo.com/mumbai/doctor/utkarsh-pawar-orthopedist?practice_id=1053353&specialization=Doctor&referrer=doctor_listing&page_uid=3ee32223-6c13-41f3-8694-23277c401466
Dr. Sudesh M Phanse,Oncologist,41 years experience overall,"Mahim,",Mumbai,S.L. Raheja Hospital – A Fortis Associate,₹2000,https://www.practo.com/mumbai/doctor/dr-sudesh-m-phanse-surgical-oncologist?practice_id=692922&specialization=Doctor&referrer=doctor_listing&page_uid=3ee32223-6c13-41f3-8694-23277c401466
Dr. Sudesh M Phanse,Oncologist,41 years experience overall,"Mahim,",Mumbai,S.L. Raheja Hospital – A Fortis Associate,₹2000,https://www.practo.com/mumbai/doctor/dr-sudesh-m-phanse-surgical-oncologist?practice_id=692922&specialization=Doctor&referrer=doctor_listing&page_uid=20534144-3de9-405d-93fe-778023c520e6
Dr. Adip K shetty,Ear-Nose-Throat (ENT) Specialist,17 years experience overall,"Bandra West,",Mumbai,Apricity ENT Care Center,₹1500,https://www.practo.com/mumbai/doctor/adip-k-shetty?practice_id=1148782&specialization=Doctor&referrer=doctor_listing&page_uid=20534144-3de9-405d-93fe-778023c520e6
Dr. Hemlata Hardasani,Gynecologist/Obstetrician,29 years experience overall,"Andheri West,",Mumbai,Mothers Care Clinic,₹1700,https://www.practo.com/mumbai/doctor/dr-hemlata-hardasani-gynecologist-obstetrician-1?practice_id=725333&specialization=Doctor&referrer=doctor_listing&page_uid=20534144-3de9-405d-93fe-778023c520e6
Dr. Ajit Singh Vasan,Dentist,27 years experience overall,"Chembur,",Mumbai,Vasan Dental Clinic & Aesthetic Care Centre,₹300,https://www.practo.com/mumbai/doctor/dr-ajit-singh-vasan-dentist?practice_id=648589&specialization=Doctor&referrer=doctor_listing&page_uid=20534144-3de9-405d-93fe-778023c520e6
Dr. Chetan Oberai,Dermatologist,48 years experience overall,"Chembur East,",Mumbai,Sushrut Hospital and Research Center,₹1200,https://www.practo.com/mumbai/doctor/dr-chetan-oberai?practice_id=611951&specialization=Doctor&referrer=doctor_listing&page_uid=20534144-3de9-405d-93fe-778023c520e6
Dr. Vibha Arora,Gynecologist/Obstetrician,24 years experience overall,"Malad West,",Mumbai,Cloudnine Hospital,₹1600,https://www.practo.com/mumbai/doctor/dr-vibha-arora-gynecologist-obstetrician?practice_id=1053187&specialization=Doctor&referrer=doctor_listing&page_uid=20534144-3de9-405d-93fe-778023c520e6
Dr. D. M. Kalambi,Ear-Nose-Throat (ENT) Specialist,48 years experience overall,"Santacruz West,",Mumbai,Dr. Kalambi's Clinic,₹1500,https://www.practo.com/mumbai/doctor/d-m-kalambi-ear-nose-throat-ent-specialist?practice_id=984666&specialization=Doctor&referrer=doctor_listing&page_uid=20534144-3de9-405d-93fe-778023c520e6
Dr. Saumya Shetty,Dermatologist,14 years experience overall,"Chembur East,",Mumbai,Roots Skin Hair and Laser Clinic,₹800,https://www.practo.com/mumbai/doctor/saumya-shetty-1?practice_id=1134092&specialization=Doctor&referrer=doctor_listing&page_uid=20534144-3de9-405d-93fe-778023c520e6
Dr. Sandeep Patel,Dentist,27 years experience overall,"Bhandup West,",Mumbai,Smile Centre Dental Clinic,₹400,https://www.practo.com/mumbai/doctor/dr-sandeep-patel-dentist-5?practice_id=655276&specialization=Doctor&referrer=doctor_listing&page_uid=20534144-3de9-405d-93fe-778023c520e6
Dr. Shirish Hastak,Neurologist,45 years experience overall,"Parel,",Mumbai,Gleneagles Hospitals,₹4100,https://www.practo.com/mumbai/doctor/shirish-hastak-neurologist?practice_id=982258&specialization=Doctor&referrer=doctor_listing&page_uid=20534144-3de9-405d-93fe-778023c520e6
Dr. Dipti Gandhi,Dentist,41 years experience overall,"Ghatkopar East,",Mumbai,White Arc Dental Studio,₹300,https://www.practo.com/mumbai/doctor/dr-dipti-gandhi-dentist-1?practice_id=648599&specialization=Doctor&referrer=doctor_listing&page_uid=d7085b0a-860e-420e-82f5-ae7271a9f3b6
Dr. Himanshu Mehta,Ophthalmologist,42 years experience overall,"Juhu,",Mumbai,The Vission Eye Center,₹1200,https://www.practo.com/mumbai/doctor/dr-himanshu-mehta-1-ophthalmologist-ophthalmologist-ophthalmologist?practice_id=738819&specialization=Doctor&referrer=doctor_listing&page_uid=d7085b0a-860e-420e-82f5-ae7271a9f3b6
Dr. Sanjay Vaidya,Plastic Surgeon,42 years experience overall,"Mahim,",Mumbai,S.L. Raheja Hospital – A Fortis Associate,₹1800,https://www.practo.com/mumbai/doctor/sanjay-vaidya-cosmetic-plastic-surgeon?practice_id=692922&specialization=Doctor&referrer=doctor_listing&page_uid=d7085b0a-860e-420e-82f5-ae7271a9f3b6
Ms. Mansi M Doshi,Psychologist,22 years experience overall,"Vileparle West,",Mumbai,Cognitive Balance,₹3000,https://www.practo.com/mumbai/therapist/ms-mansi-h-doshi-psychologist?practice_id=1159554&specialization=Doctor&referrer=doctor_listing&page_uid=d7085b0a-860e-420e-82f5-ae7271a9f3b6
Dr. Ashitesh Kumar,Dentist,14 years experience overall,"Chembur East,",Mumbai,Dental Home-A Multi-Specialty Dental Clinic,₹700,https://www.practo.com/mumbai/doctor/ashitesh-kumar-dentist?practice_id=1134690&specialization=Doctor&referrer=doctor_listing&page_uid=d7085b0a-860e-420e-82f5-ae7271a9f3b6
Dr. Chirag Patel,Orthopedist,15 years experience overall,"Tardeo,",Mumbai,Apollo Spectra Hospitals,₹2000,https://www.practo.com/mumbai/doctor/dr-chirag-patel-3-orthopedist-1?practice_id=1134529&specialization=Doctor&referrer=doctor_listing&page_uid=d7085b0a-860e-420e-82f5-ae7271a9f3b6
Dr. Kalpana Sanjay Erande,Ayurveda,21 years experience overall,"Dadar West,",Mumbai,Dr. Erande's Vedsuman Men & Women's Clinic,₹1000,https://www.practo.com/mumbai/doctor/kalpana-sanjay-erande-ayurveda?practice_id=1102961&specialization=Doctor&referrer=doctor_listing&page_uid=d7085b0a-860e-420e-82f5-ae7271a9f3b6
Dr. Amit Gulati,Dermatologist,18 years experience overall,"Malad West,",Mumbai,Akira Skin And Hair Clinic,₹1200,https://www.practo.com/mumbai/doctor/amit-gulati-1-dermatologist?practice_id=1256152&specialization=Doctor&referrer=doctor_listing&page_uid=d7085b0a-860e-420e-82f5-ae7271a9f3b6
Dr. Naazneen Ladak,Psychiatrist,21 years experience overall,"Andheri West,",Mumbai,BHN Elder Care,₹2000,https://www.practo.com/mumbai/doctor/dr-nazneen-psychiatrist-1?practice_id=1117710&specialization=Doctor&referrer=doctor_listing&page_uid=d7085b0a-860e-420e-82f5-ae7271a9f3b6
Dr. Alok Shah,Dentist,14 years experience overall,"Powai,",Mumbai,Smile Plus Dental Clinic,₹300,https://www.practo.com/mumbai/doctor/dr-alok-shah-dentist?practice_id=1177500&specialization=Doctor&referrer=doctor_listing&page_uid=d7085b0a-860e-420e-82f5-ae7271a9f3b6
Dr. Alok Shah,Dentist,14 years experience overall,"Powai,",Mumbai,Smile Plus Dental Clinic,₹300,https://www.practo.com/mumbai/doctor/dr-alok-shah-dentist?practice_id=1177500&specialization=Doctor&referrer=doctor_listing&page_uid=0cf91718-1eb1-4bc8-a5e0-34b668a5f224
Dr. Prashant Patel,Dentist,28 years experience overall,"Borivali West,",Mumbai,Dental Renaissance Clinic,₹500,https://www.practo.com/mumbai/doctor/dr-prashant-patel-dentist-1?practice_id=648493&specialization=Doctor&referrer=doctor_listing&page_uid=0cf91718-1eb1-4bc8-a5e0-34b668a5f224
Ms. Saachi Arora,Psychologist,5 years experience overall,"Khar West,",Mumbai,Therapybysaachi,₹2000,https://www.practo.com/mumbai/therapist/saachi-arora-psychologist?practice_id=1321765&specialization=Doctor&referrer=doctor_listing&page_uid=0cf91718-1eb1-4bc8-a5e0-34b668a5f224
Dr. Ajay Thaker,Dentist,29 years experience overall,"Mulund West,",Mumbai,Dr. Ajay Thaker's Smiles Royale Dental Clinic,₹300,https://www.practo.com/mumbai/doctor/dr-ajay-thaker-dentist-2?practice_id=723908&specialization=Doctor&referrer=doctor_listing&page_uid=0cf91718-1eb1-4bc8-a5e0-34b668a5f224
Dr. Swapnil Shah,Dentist,36 years experience overall,"Powai,",Mumbai,Smilee Dental Care,₹500,https://www.practo.com/mumbai/doctor/dr-swapnil-shah-dentist?practice_id=1114459&specialization=Doctor&referrer=doctor_listing&page_uid=0cf91718-1eb1-4bc8-a5e0-34b668a5f224
Dr. Anurag Agarwal,Ophthalmologist,26 years experience overall,"Goregaon West,",Mumbai,Jain Hospital,₹1000,https://www.practo.com/mumbai/doctor/anurag-agarwal-2-ophthalmologist-1?practice_id=896165&specialization=Doctor&referrer=doctor_listing&page_uid=0cf91718-1eb1-4bc8-a5e0-34b668a5f224
Dr. Prashanth Rao,Laparoscopic Surgeon,33 years experience overall,"Parel,",Mumbai,Gleneagles Hospitals,₹2500,https://www.practo.com/mumbai/doctor/dr-prashanth-rao-general-surgeon?practice_id=982258&specialization=Doctor&referrer=doctor_listing&page_uid=0cf91718-1eb1-4bc8-a5e0-34b668a5f224
Dr. Uday B Shetty,Dentist,40 years experience overall,"Dadar West,",Mumbai,Perfect smile clinic,₹500,https://www.practo.com/mumbai/doctor/dr-uday-b-shetty-dentist-1?practice_id=648684&specialization=Doctor&referrer=doctor_listing&page_uid=0cf91718-1eb1-4bc8-a5e0-34b668a5f224
Dr. Suresh Advani,Oncologist,55 years experience overall,"Charni Road,",Mumbai,Sir H.N. Reliance Foundation Hospital,₹5000,https://www.practo.com/mumbai/doctor/dr-suresh-advani-oncologist-oncologist?practice_id=862484&specialization=Doctor&referrer=doctor_listing&page_uid=0cf91718-1eb1-4bc8-a5e0-34b668a5f224
Dr. Dilip Raja,Urologist,45 years experience overall,"Bandra West,",Mumbai,Dr Dilip Raja Urologist & Andrologist,₹3000,https://www.practo.com/mumbai/doctor/dr-dilip-raja-urologist-3?practice_id=681083&specialization=Doctor&referrer=doctor_listing&page_uid=0cf91718-1eb1-4bc8-a5e0-34b668a5f224
Dr. Mihir Parekh,Dentist,16 years experience overall,"Charni Road,",Mumbai,Smileage Dental Clinic,₹300,https://www.practo.com/mumbai/doctor/dr-mihir-parekh-dentist?practice_id=826167&specialization=Doctor&referrer=doctor_listing&page_uid=8ac6b7bc-e9e9-4698-a8a3-b19f415b73ab
Dr. Ritu Sharma,Dentist,15 years experience overall,"Borivali East,",Mumbai,DENTISTIQ Family Care,₹300,https://www.practo.com/mumbai/doctor/dr-ritu-sharma-2-dentist?practice_id=1195704&specialization=Doctor&referrer=doctor_listing&page_uid=8ac6b7bc-e9e9-4698-a8a3-b19f415b73ab
Dr. Jyoti Narla,Dentist,25 years experience overall,"Powai,",Mumbai,Cosmo Dent CAD/CAM Digital Dentistry,₹500,https://www.practo.com/mumbai/doctor/dr-jyoti-narla-dentist?practice_id=666840&specialization=Doctor&referrer=doctor_listing&page_uid=8ac6b7bc-e9e9-4698-a8a3-b19f415b73ab
Dr. Bhavna Dedhia,Dentist,27 years experience overall,"Ghatkopar East,",Mumbai,Dr. Bhavna Dedhia's Dental Clinic,₹300,https://www.practo.com/mumbai/doctor/dr-bhavna-dedhia-dentist?practice_id=648704&specialization=Doctor&referrer=doctor_listing&page_uid=8ac6b7bc-e9e9-4698-a8a3-b19f415b73ab
Dr. Paresh C. Trivedi,Psychiatrist,30 years experience overall,"Andheri West,",Mumbai,Chaitanya Mindcare Centre,₹2000,https://www.practo.com/mumbai/doctor/dr-paresh-c-trivedi-psychiatrist?practice_id=718364&specialization=Doctor&referrer=doctor_listing&page_uid=8ac6b7bc-e9e9-4698-a8a3-b19f415b73ab
Dr. Ajay Bajaj,Dentist,32 years experience overall,"Juhu,",Mumbai,Smilez Unlimited Dental Clinic,₹500,https://www.practo.com/mumbai/doctor/dr-ajay-bajaj-dentist-3?practice_id=648527&specialization=Doctor&referrer=doctor_listing&page_uid=8ac6b7bc-e9e9-4698-a8a3-b19f415b73ab
Dr. Jayna Shah,Dentist,36 years experience overall,"Powai,",Mumbai,Smilee Dental Care,₹500,https://www.practo.com/mumbai/doctor/dr-jaina-shah-dentist?practice_id=1114459&specialization=Doctor&referrer=doctor_listing&page_uid=8ac6b7bc-e9e9-4698-a8a3-b19f415b73ab
Dr. Rajesh Shah,Homoeopath,40 years experience overall,"Chembur,",Mumbai,Lifeforce Homeopathy Clinic,₹5000,https://www.practo.com/mumbai/doctor/rajesh-shah-2-homeopath?practice_id=836507&specialization=Doctor&referrer=doctor_listing&page_uid=8ac6b7bc-e9e9-4698-a8a3-b19f415b73ab
Dr. Sandhya Biyani,Dentist,15 years experience overall,"Bandra West,",Mumbai,Divine Smiles Dental Care,₹500,https://www.practo.com/mumbai/doctor/sandhya-maheshwari-dentist?practice_id=901732&specialization=Doctor&referrer=doctor_listing&page_uid=8ac6b7bc-e9e9-4698-a8a3-b19f415b73ab
Dr. Krishna Vora,Ear-Nose-Throat (ENT) Specialist,31 years experience overall,"Tardeo,",Mumbai,ENT Health Clinic,₹1500,https://www.practo.com/mumbai/doctor/krishna-vora-ear-nose-throat-ent-specialist?practice_id=846752&specialization=Doctor&referrer=doctor_listing&page_uid=8ac6b7bc-e9e9-4698-a8a3-b19f415b73ab
Dr. Jyotsna Zope,Nephrologist,42 years experience overall,"Mahim,",Mumbai,S.L. Raheja Hospital – A Fortis Associate,₹2000,https://www.practo.com/mumbai/doctor/dr-jyotsna-zope-nephrologist?practice_id=692922&specialization=Doctor&referrer=doctor_listing&page_uid=75ade588-8a5b-4c47-8b22-c64b20d57213
Dr. Shailesh Pandey,Ear-Nose-Throat (ENT) Specialist,27 years experience overall,"Andheri West,",Mumbai,AUM ENT Clinic,₹1500,https://www.practo.com/mumbai/doctor/shailesh-pandey-ear-nose-throat-ent-specialist?practice_id=792159&specialization=Doctor&referrer=doctor_listing&page_uid=75ade588-8a5b-4c47-8b22-c64b20d57213
Dr. B.R. Ramesh Rao,Nephrologist,44 years experience overall,"Mahim,",Mumbai,S.L. Raheja Hospital – A Fortis Associate,₹1800,https://www.practo.com/mumbai/doctor/b-r-ramesh-rao-nephrologist?practice_id=692922&specialization=Doctor&referrer=doctor_listing&page_uid=75ade588-8a5b-4c47-8b22-c64b20d57213
Dr. Haresh  Timbadia,Cosmetologist,44 years experience overall,"Borivali West,",Mumbai,Bienaura Clinic,₹1200,https://www.practo.com/mumbai/therapist/dr-haresh-timbadia-dermatologist-cosmetologist?practice_id=744641&specialization=Doctor&referrer=doctor_listing&page_uid=75ade588-8a5b-4c47-8b22-c64b20d57213
Dr. Darshan Shah,Dentist,15 years experience overall,"Santacruz East,",Mumbai,Excel Dental Clinics,Free Consultation,https://www.practo.com/mumbai/doctor/darshan-shah-dentist-1?practice_id=689184&specialization=Doctor&referrer=doctor_listing&page_uid=75ade588-8a5b-4c47-8b22-c64b20d57213
Dr. Priyanka Deshpande,Dentist,22 years experience overall,"Borivali West,",Mumbai,Vitalis Dental Care,₹600,https://www.practo.com/mumbai/doctor/dr-priyanka-deshapande-dentist?practice_id=835235&specialization=Doctor&referrer=doctor_listing&page_uid=75ade588-8a5b-4c47-8b22-c64b20d57213
Dr. Veena G. Shinde,Gynecologist/Obstetrician,36 years experience overall,"Malad West,",Mumbai,Cloudnine Hospital,₹1600,https://www.practo.com/mumbai/doctor/dr-veena-shinde-gynecologist-obstetrician-1?practice_id=1053187&specialization=Doctor&referrer=doctor_listing&page_uid=75ade588-8a5b-4c47-8b22-c64b20d57213
Dr. Shankar Chawla,Homoeopath,42 years experience overall,"Chembur,",Mumbai,Mohini Clinics - Dr. Shankar Chawla,₹3000,https://www.practo.com/mumbai/doctor/dr-shankar-chawla-homoeopath-1?practice_id=1190389&specialization=Doctor&referrer=doctor_listing&page_uid=75ade588-8a5b-4c47-8b22-c64b20d57213
Dr. Jolly Shah Kapadia,Dermatologist,26 years experience overall,"Mulund West,",Mumbai,Dr Jolly's Skin Nurture Clinic,₹750,https://www.practo.com/mumbai/doctor/dr-jolly-shah-dermatologist-cosmetologist?practice_id=1067537&specialization=Doctor&referrer=doctor_listing&page_uid=75ade588-8a5b-4c47-8b22-c64b20d57213
Dr. Rajeev Redkar,Pediatric Surgeon,37 years experience overall,"Mahim,",Mumbai,S.L. Raheja Hospital – A Fortis Associate,₹1800,https://www.practo.com/mumbai/doctor/dr-rajeev-redkar-pediatrician-1?practice_id=692922&specialization=Doctor&referrer=doctor_listing&page_uid=75ade588-8a5b-4c47-8b22-c64b20d57213
Dr. Suhas Lele,Dentist,44 years experience overall,"Prabhadevi,",Mumbai,SmilesForever By Dr Suhas Lele,₹1000,https://www.practo.com/mumbai/doctor/dr-suhas-lele-dentist-2?practice_id=648623&specialization=Doctor&referrer=doctor_listing&page_uid=d237b79b-1a21-4275-9b99-09baa2ecf22c
Dr. Mandar S Patwardhan,Homoeopath,34 years experience overall,"Dadar West,",Mumbai,Patwardhan Homoeopathy Clinic,₹1500,https://www.practo.com/mumbai/doctor/dr-mandar-s-patwardhan-homeopath?practice_id=1044884&specialization=Doctor&referrer=doctor_listing&page_uid=d237b79b-1a21-4275-9b99-09baa2ecf22c
